h3_id,h3_resolution,center_lat,center_lon,in_case_study_box,state_code,state_name,state_region,protected_overlap,indigenous_overlap,hard_exclusion,outside_state_boundary,dominant_lulc_class,water_surface_centroid,water_surface_share_proxy,nearest_ons_bus_km,nearest_ons_bus_id,nearest_ons_substation,nearest_ons_bus_voltage_kv,nearest_hv_ons_bus_km,nearest_hv_ons_bus_id,nearest_ons_line_km,nearest_ons_line_id,nearest_ons_line_voltage_kv,nearest_idc_km,nearest_idc_id,nearest_idc_name,nearby_renewable_mw,nearby_generation_asset_count,state_curtailed_mwh,source_flags,ndvi_s2_20260101_20260401,ndwi_s2_20260101_20260401,vv_s1_median,vh_s1_median,ndvi_s2_median,ndwi_s2_median
8880139101fffff,8,-3.389566370561563,-39.01152503922172,True,,,,False,False,True,True,0,0,0.0,25.92650124320588,ons_bus_5656,ENERGIA PECEM,230.0,25.92650124320588,ons_bus_5656,12.57510748800194,ons_branch_01379,500.0,58.10081665815128,idc_br_0262,TELLCORP - TELECOMUNICACOES CORPORATIVAS LTDA,5413.4,9,0.0,"{""lulc"": ""/Users/nqj5zk/Projects/Brazil/clean_data/lulc_water/lulc_candidate_2024.vrt"", ""water"": ""/Users/nqj5zk/Projects/Brazil/clean_data/lulc_water/water_surface_2024.vrt"", ""territorial"": ""/Users/nqj5zk/Projects/Brazil/clean_data/brazil_territorial_layers.gpkg"", ""ons_grid"": ""/Users/nqj5zk/Projects/Brazil/clean_data/ons_official_grid/ons_official_grid_model.gpkg"", ""idc"": ""/Users/nqj5zk/Projects/Brazil/clean_data/idc_data_centers/brazil_idc_points_merged.gpkg""}",-0.09583095392487502,0.29157743806136605,-12.07845859332256,-20.6475331081826,-0.10401149211540191,0.2829510263150326
8880139103fffff,8,-3.3825930703524403,-39.01738054765444,True,,,,False,False,True,True,0,0,0.0,26.939227739569255,ons_bus_5656,ENERGIA PECEM,230.0,26.939227739569255,ons_bus_5656,12.95103653594151,ons_branch_01379,500.0,59.1056682555884,idc_br_0262,TELLCORP - TELECOMUNICACOES CORPORATIVAS LTDA,5413.4,9,0.0,"{""lulc"": ""/Users/nqj5zk/Projects/Brazil/clean_data/lulc_water/lulc_candidate_2024.vrt"", ""water"": ""/Users/nqj5zk/Projects/Brazil/clean_data/lulc_water/water_surface_2024.vrt"", ""territorial"": ""/Users/nqj5zk/Projects/Brazil/clean_data/brazil_territorial_layers.gpkg"", ""ons_grid"": ""/Users/nqj5zk/Projects/Brazil/clean_data/ons_official_grid/ons_official_grid_model.gpkg"", ""idc"": ""/Users/nqj5zk/Projects/Brazil/clean_data/idc_data_centers/brazil_idc_points_merged.gpkg""}",-0.08290887826347146,0.2788152517823189,-11.983382032316788,-20.841841657845343,-0.08792360899689294,0.2633927670226737
8880139105fffff,8,-3.387991190546722,-39.00256016408627,True,,,,False,False,True,True,0,0,0.0,25.492812562013764,ons_bus_5656,ENERGIA PECEM,230.0,25.492812562013764,ons_bus_5656,13.202669498454172,ons_branch_01379,500.0,57.48197502169062,idc_br_0262,TELLCORP - TELECOMUNICACOES CORPORATIVAS LTDA,5413.4,9,0.0,"{""lulc"": ""/Users/nqj5zk/Projects/Brazil/clean_data/lulc_water/lulc_candidate_2024.vrt"", ""water"": ""/Users/nqj5zk/Projects/Brazil/clean_data/lulc_water/water_surface_2024.vrt"", ""territorial"": ""/Users/nqj5zk/Projects/Brazil/clean_data/brazil_territorial_layers.gpkg"", ""ons_grid"": ""/Users/nqj5zk/Projects/Brazil/clean_data/ons_official_grid/ons_official_grid_model.gpkg"", ""idc"": ""/Users/nqj5zk/Projects/Brazil/clean_data/idc_data_centers/brazil_idc_points_merged.gpkg""}",-0.09739642431331684,0.2918206308477967,-12.088212763311404,-20.870953449517092,-0.10394223400082933,0.280900870218674
8880139107fffff,8,-3.381018000767012,-39.00841565024714,True,,,,False,False,True,True,0,0,0.0,26.502707782722226,ons_bus_5656,ENERGIA PECEM,230.0,26.502707782722226,ons_bus_5656,13.578587758561072,ons_branch_01379,500.0,58.48866104660304,idc_br_0262,TELLCORP - TELECOMUNICACOES CORPORATIVAS LTDA,5413.4,9,0.0,"{""lulc"": ""/Users/nqj5zk/Projects/Brazil/clean_data/lulc_water/lulc_candidate_2024.vrt"", ""water"": ""/Users/nqj5zk/Projects/Brazil/clean_data/lulc_water/water_surface_2024.vrt"", ""territorial"": ""/Users/nqj5zk/Projects/Brazil/clean_data/brazil_territorial_layers.gpkg"", ""ons_grid"": ""/Users/nqj5zk/Projects/Brazil/clean_data/ons_official_grid/ons_official_grid_model.gpkg"", ""idc"": ""/Users/nqj5zk/Projects/Brazil/clean_data/idc_data_centers/brazil_idc_points_merged.gpkg""}",-0.07904791930541696,0.26677230764533394,-11.983071384018125,-20.890534083641032,-0.08764342675011567,0.25996219448955876
8880139109fffff,8,-3.398114830034674,-39.0146345193936,True,,,,False,False,True,True,0,0,0.0,25.377747720465063,ons_bus_5656,ENERGIA PECEM,230.0,25.377747720465063,ons_bus_5656,11.571606197968627,ons_branch_01379,500.0,57.72818066706697,idc_br_0262,TELLCORP - TELECOMUNICACOES CORPORATIVAS LTDA,3147.0,9,0.0,"{""lulc"": ""/Users/nqj5zk/Projects/Brazil/clean_data/lulc_water/lulc_candidate_2024.vrt"", ""water"": ""/Users/nqj5zk/Projects/Brazil/clean_data/lulc_water/water_surface_2024.vrt"", ""territorial"": ""/Users/nqj5zk/Projects/Brazil/clean_data/brazil_territorial_layers.gpkg"", ""ons_grid"": ""/Users/nqj5zk/Projects/Brazil/clean_data/ons_official_grid/ons_official_grid_model.gpkg"", ""idc"": ""/Users/nqj5zk/Projects/Brazil/clean_data/idc_data_centers/brazil_idc_points_merged.gpkg""}",-0.10061052478770144,0.2576640376968158,-11.910240140300749,-18.939489753470728,-0.1003771389522041,0.23174807432357852
888013910bfffff,8,-3.39114149532491,-39.020490100292406,True,,,,False,False,True,True,0,0,0.0,26.392005752885662,ons_bus_5656,ENERGIA PECEM,230.0,26.392005752885662,ons_bus_5656,11.94754086601078,ons_branch_01379,500.0,58.73064089064342,idc_br_0262,TELLCORP - TELECOMUNICACOES CORPORATIVAS LTDA,3145.4,8,0.0,"{""lulc"": ""/Users/nqj5zk/Projects/Brazil/clean_data/lulc_water/lulc_candidate_2024.vrt"", ""water"": ""/Users/nqj5zk/Projects/Brazil/clean_data/lulc_water/water_surface_2024.vrt"", ""territorial"": ""/Users/nqj5zk/Projects/Brazil/clean_data/brazil_territorial_layers.gpkg"", ""ons_grid"": ""/Users/nqj5zk/Projects/Brazil/clean_data/ons_official_grid/ons_official_grid_model.gpkg"", ""idc"": ""/Users/nqj5zk/Projects/Brazil/clean_data/idc_data_centers/brazil_idc_points_merged.gpkg""}",-0.09848142606930986,0.2986624138386363,-12.301679877917861,-20.79759963294222,-0.10038747096624609,0.28107755664538137
888013910dfffff,8,-3.3965395948115544,-39.00566948049569,True,,,,False,False,True,True,0,0,0.0,24.91393335651566,ons_bus_5656,ENERGIA PECEM,230.0,24.91393335651566,ons_bus_5656,12.19918361896908,ons_branch_01379,500.0,57.09631042827567,idc_br_0262,TELLCORP - TELECOMUNICACOES CORPORATIVAS LTDA,5415.0,10,0.0,"{""lulc"": ""/Users/nqj5zk/Projects/Brazil/clean_data/lulc_water/lulc_candidate_2024.vrt"", ""water"": ""/Users/nqj5zk/Projects/Brazil/clean_data/lulc_water/water_surface_2024.vrt"", ""territorial"": ""/Users/nqj5zk/Projects/Brazil/clean_data/brazil_territorial_layers.gpkg"", ""ons_grid"": ""/Users/nqj5zk/Projects/Brazil/clean_data/ons_official_grid/ons_official_grid_model.gpkg"", ""idc"": ""/Users/nqj5zk/Projects/Brazil/clean_data/idc_data_centers/brazil_idc_points_merged.gpkg""}",0.005699138779720097,0.07202106308667929,-10.791289134586995,-17.19565264287666,0.012746519565111844,0.04627054244646602
8880139111fffff,8,-3.377194598926052,-39.03220111052453,True,,,,False,False,True,True,0,0,0.0,28.42061290060354,ons_bus_5656,ENERGIA PECEM,230.0,28.42061290060354,ons_bus_5656,12.699425689485713,ons_branch_01379,500.0,60.73677316105114,idc_br_0262,TELLCORP - TELECOMUNICACOES CORPORATIVAS LTDA,3197.8,10,0.0,"{""lulc"": ""/Users/nqj5zk/Projects/Brazil/clean_data/lulc_water/lulc_candidate_2024.vrt"", ""water"": ""/Users/nqj5zk/Projects/Brazil/clean_data/lulc_water/water_surface_2024.vrt"", ""territorial"": ""/Users/nqj5zk/Projects/Brazil/clean_data/brazil_territorial_layers.gpkg"", ""ons_grid"": ""/Users/nqj5zk/Projects/Brazil/clean_data/ons_official_grid/ons_official_grid_model.gpkg"", ""idc"": ""/Users/nqj5zk/Projects/Brazil/clean_data/idc_data_centers/brazil_idc_points_merged.gpkg""}",-0.07871674176982688,0.27076261546364405,-12.057940699958623,-20.8034299607231,-0.08557346789556913,0.2594182793792822
8880139113fffff,8,-3.370221038085248,-39.03805653961454,True,,,,False,False,True,True,0,0,0.0,29.43495537034345,ons_bus_5656,ENERGIA PECEM,230.0,29.43495537034345,ons_bus_5656,13.0753757945596,ons_branch_01379,500.0,61.74040562413715,idc_br_0262,TELLCORP - TELECOMUNICACOES CORPORATIVAS LTDA,3204.1,10,0.0,"{""lulc"": ""/Users/nqj5zk/Projects/Brazil/clean_data/lulc_water/lulc_candidate_2024.vrt"", ""water"": ""/Users/nqj5zk/Projects/Brazil/clean_data/lulc_water/water_surface_2024.vrt"", ""territorial"": ""/Users/nqj5zk/Projects/Brazil/clean_data/brazil_territorial_layers.gpkg"", ""ons_grid"": ""/Users/nqj5zk/Projects/Brazil/clean_data/ons_official_grid/ons_official_grid_model.gpkg"", ""idc"": ""/Users/nqj5zk/Projects/Brazil/clean_data/idc_data_centers/brazil_idc_points_merged.gpkg""}",-0.07707242150746145,0.26994246773771263,-12.061381656585105,-20.845970580280845,-0.08817970708797218,0.26495974388004795
8880139115fffff,8,-3.3756196946082992,-39.02323600567221,True,,,,False,False,True,True,0,0,0.0,27.952095418088923,ons_bus_5656,ENERGIA PECEM,230.0,27.952095418088923,ons_bus_5656,13.32697073760978,ons_branch_01379,500.0,60.110847796447175,idc_br_0262,TELLCORP - TELECOMUNICACOES CORPORATIVAS LTDA,3202.7,10,0.0,"{""lulc"": ""/Users/nqj5zk/Projects/Brazil/clean_data/lulc_water/lulc_candidate_2024.vrt"", ""water"": ""/Users/nqj5zk/Projects/Brazil/clean_data/lulc_water/water_surface_2024.vrt"", ""territorial"": ""/Users/nqj5zk/Projects/Brazil/clean_data/brazil_territorial_layers.gpkg"", ""ons_grid"": ""/Users/nqj5zk/Projects/Brazil/clean_data/ons_official_grid/ons_official_grid_model.gpkg"", ""idc"": ""/Users/nqj5zk/Projects/Brazil/clean_data/idc_data_centers/brazil_idc_points_merged.gpkg""}",-0.07796696193444502,0.2716013740918288,-11.954407897266627,-20.824335813448272,-0.08565617596621226,0.26081930205536097
